,Overall Qual,MS SubClass,Full Bath,Half Bath,Fireplaces,Gr Liv Area,Year Built,Year Remod/Add,Garage Area,TotRms AbvGrd,Open Porch SF,Wood Deck SF,Lot Area,MS Zoning,Lot Config,Condition 1,Bldg Type,House Style,Roof Style,Exterior 2nd,Exter Qual,Foundation,Heating QC,Sale Type,Kitchen Qual,Neighborhood,Lot Shape,SalePrice,Area_x_Rooms
752,8,20,2,0,0,1491,2001,2001,490.0,7,100,120,9116,RL,Corner,Norm,1Fam,1Story,Hip,VinylSd,Gd,PConc,Ex,WD ,Gd,Mitchel,Reg,209000,10437
1208,5,20,1,0,0,1073,1967,1967,270.0,6,90,0,9981,RL,Corner,Norm,1Fam,1Story,Gable,MetalSd,TA,CBlock,Gd,WD ,TA,Sawyer,IR1,120000,6438
903,9,20,2,0,1,1850,2004,2005,772.0,8,112,519,16033,RL,FR2,Norm,1Fam,1Story,Hip,VinylSd,Gd,PConc,Ex,WD ,Gd,NridgHt,IR1,326000,14800
505,6,60,2,1,1,1571,1993,1994,380.0,7,40,0,7837,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Gd,WD ,TA,Gilbert,IR1,178000,10997
575,6,120,1,0,0,848,2003,2004,420.0,4,0,140,4435,RM,Inside,Norm,TwnhsE,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,CollgCr,Reg,144000,3392
216,5,20,1,0,0,1031,1952,2005,230.0,5,0,0,7626,RL,Inside,Norm,1Fam,1Story,Hip,Wd Sdng,Gd,CBlock,Gd,WD ,Gd,NAmes,Reg,145500,5155
1987,7,120,2,0,0,1055,1976,1976,319.0,4,29,0,2280,RL,FR2,Norm,Twnhs,1Story,Gable,Brk Cmn,TA,CBlock,TA,WD ,TA,NPkVill,Reg,137500,4220
1975,5,20,1,0,0,773,1953,1953,240.0,4,0,0,7677,RL,Inside,Norm,1Fam,1Story,Gable,VinylSd,TA,CBlock,Gd,WD ,TA,NAmes,Reg,110000,3092
100,9,20,2,0,1,1884,2004,2004,670.0,7,76,214,15401,RL,CulDSac,Norm,1Fam,1Story,Hip,VinylSd,Ex,PConc,Ex,WD ,Ex,StoneBr,IR1,387000,13188
501,3,30,1,1,0,725,1890,1998,320.0,4,30,0,10800,RL,Corner,Norm,1Fam,1Story,Gable,VinylSd,TA,BrkTil,TA,WD ,TA,OldTown,Reg,78500,2900
1854,7,20,2,0,2,1533,1975,1975,576.0,5,54,200,70761,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,TA,WD ,Gd,ClearCr,IR1,280000,7665
1141,10,75,3,1,1,2775,1893,2000,880.0,9,502,105,13500,RM,Inside,Artery,1Fam,2.5Unf,Gable,Wd Sdng,Ex,BrkTil,Gd,WD ,Gd,OldTown,Reg,325000,24975
515,7,50,2,1,0,2183,1988,1988,786.0,9,0,0,13837,RL,Corner,Norm,1Fam,1.5Fin,Gable,HdBoard,Gd,PConc,Gd,WD ,Gd,NWAmes,IR1,229000,19647
1954,6,60,2,1,1,1490,2005,2006,392.0,7,20,36,8918,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Gilbert,IR1,167800,10430
1411,5,20,2,0,1,1484,1971,1971,487.0,7,0,224,12243,RL,Inside,Norm,1Fam,1Story,Gable,Plywood,TA,CBlock,Gd,WD ,TA,NWAmes,IR1,175000,10388
354,6,20,1,0,0,1008,1963,1963,430.0,5,0,0,9723,RL,Corner,Norm,1Fam,1Story,Hip,MetalSd,TA,CBlock,TA,WD ,TA,NAmes,IR1,135000,5040
1494,7,20,2,0,1,1442,1990,1991,719.0,6,244,0,10357,RL,Corner,Feedr,1Fam,1Story,Hip,HdBoard,Gd,PConc,Gd,WD ,Gd,SawyerW,IR1,179900,8652
1701,6,50,2,0,1,2486,1962,1962,576.0,8,0,0,33120,RM,Inside,RRAn,1Fam,1.5Fin,Gable,Wd Sdng,TA,CBlock,TA,WD ,TA,OldTown,IR3,220000,19888
1038,7,20,2,0,0,1221,2004,2005,400.0,6,113,0,7500,FV,Inside,Norm,1Fam,1Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Somerst,Reg,185000,7326
234,7,80,2,0,0,1166,2005,2005,400.0,5,0,212,9587,RL,Inside,Norm,1Fam,SLvl,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Gilbert,IR1,190000,5830
390,6,90,2,0,0,1902,1978,1978,539.0,8,0,0,8930,RM,Inside,RRAe,Duplex,1.5Fin,Gable,VinylSd,TA,Slab,TA,WD ,TA,Sawyer,Reg,112000,15216
182,5,20,1,1,0,1074,1975,1975,495.0,6,88,0,10140,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,CBlock,Ex,WD ,TA,NWAmes,Reg,153500,6444
1487,5,80,2,0,1,1020,1964,2001,528.0,5,0,0,14149,RL,Inside,Norm,1Fam,SLvl,Hip,HdBoard,Gd,CBlock,TA,WD ,TA,Sawyer,IR1,165000,5100
584,6,50,2,0,0,1638,1957,1957,384.0,6,21,0,9060,RM,Inside,Norm,1Fam,1.5Fin,Gable,MetalSd,TA,CBlock,Gd,WD ,Gd,IDOTRR,Reg,139000,9828
75,6,30,1,0,0,768,1930,1950,440.0,4,0,0,6291,RM,Inside,RRNe,1Fam,1Story,Gable,Wd Shng,Gd,BrkTil,TA,WD ,TA,IDOTRR,IR1,93850,3072
333,6,75,2,0,0,2134,1916,1994,441.0,10,60,0,11888,RL,Inside,PosN,1Fam,2.5Unf,Gable,Wd Shng,TA,BrkTil,Gd,WD ,Gd,BrkSide,IR1,214500,21340
1949,6,60,2,1,1,2054,2000,2000,390.0,7,48,24,12224,RL,Corner,Norm,1Fam,2Story,Gable,VinylSd,Gd,PConc,Ex,WD ,Gd,Gilbert,IR1,244000,14378
1309,4,30,1,0,0,720,1920,1950,0.0,4,523,0,7879,C (all),Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,CBlock,TA,WD ,TA,IDOTRR,Reg,34900,2880
1895,5,20,1,0,0,955,1966,1966,386.0,6,0,0,7742,RL,Inside,Norm,1Fam,1Story,Gable,HdBoard,TA,CBlock,Ex,WD ,TA,Sawyer,Reg,127000,5730
898,5,20,1,1,0,1256,1959,1959,311.0,6,240,0,8000,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,PConc,Gd,WD ,Gd,NAmes,Reg,159000,7536
1098,4,190,2,0,0,1294,1900,2000,0.0,7,114,220,10800,RL,Inside,Norm,2fmCon,2Story,Gable,MetalSd,TA,BrkTil,TA,WD ,TA,OldTown,Reg,106250,9058
677,4,180,1,0,1,988,1973,1973,297.0,4,101,0,1596,RM,Inside,Norm,Twnhs,SLvl,Gable,CmentBd,TA,CBlock,TA,WD ,TA,MeadowV,Reg,94900,3952
1368,7,20,2,0,0,1661,1998,1998,598.0,6,34,0,12137,RL,CulDSac,Norm,1Fam,1Story,Gable,VinylSd,TA,PConc,Ex,WD ,Gd,CollgCr,IR2,224900,9966
1146,6,60,2,1,1,1465,1998,1998,393.0,7,75,0,8402,RL,Inside,Norm,1Fam,2Story,Gable,VinylSd,TA,PConc,Gd,WD ,TA,Gilbert,IR1,180400,10255
340,5,20,1,0,0,1040,1959,1959,286.0,6,0,140,7560,RL,Inside,Norm,1Fam,1Story,Gable,Wd Sdng,TA,CBlock,TA,WD ,TA,NAmes,Reg,133700,6240
2002,8,20,2,0,1,1710,2007,2008,866.0,6,102,0,13891,RL,Inside,Norm,1Fam,1Story,Hip,VinylSd,Gd,PConc,Ex,New,Gd,NridgHt,Reg,372402,10260
